seq_id,mean_n_hydrophobic,std_n_hydrophobic,occ_n_hydrophobic_gt0,mean_n_polar,std_n_polar,occ_n_polar_gt0,mean_n_pos_charged,std_n_pos_charged,occ_n_pos_charged_gt0,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,mean_n_other,std_n_other,occ_n_other_gt0,mean_n_total,std_n_total,occ_n_total_gt0,mean_frac_hydrophobic,std_frac_hydrophobic
bind_019_binder,5.440694546343849,1.580522734414856,1.0,1.0857585391701312,0.6727396427666396,0.8616613678976115,1.3768647591098069,0.5190394884741717,0.9933969185619956,0.090568191081764,0.2875615967782295,0.0904051520339121,0.0,0.0,0.0,7.993886035705551,1.530072490789516,1.0,0.6716915040160334,0.1146684936536637
bind_020_binder,5.341566805249857,1.240956035794652,1.0,1.73555066438412,0.8334984602973268,0.9109806798728296,0.9700823347191652,0.2185682710000565,0.9607075894676776,0.0348903562403195,0.1835020961235678,0.0348903562403195,0.0,0.0,0.0,8.082090160593463,1.2743218755970265,1.0,0.6589769387519449,0.1062671180375966
bind_022_binder,3.975136545202576,1.1874667027561765,0.999510882856444,1.2135811526860685,0.8985562806962889,0.7878046792206733,1.9769299747289475,0.951693396750821,0.9690225809081277,0.9991848047607402,0.0423410555264444,0.9986956876171844,0.0,0.0,0.0,8.164832477378333,1.5790547597194442,1.0,0.4956534774338638,0.1451327044951825
bind_034_binder,2.8977745169968205,1.0702788421225409,1.0,2.917013124643352,0.6120658056876955,1.0,0.7565827015570229,0.4846343581955982,0.7312301296160431,8.151952392598027e-05,0.0090284482882275,8.151952392598027e-05,0.0,0.0,0.0,6.571451862721122,1.4428071750632063,1.0,0.4334293011047719,0.1037703448317744
bind_041_binder,4.880166299828809,1.454784245405673,0.999836960952148,1.463356973995272,0.9000004057774179,0.8794326241134752,0.8944322165158556,0.4200379359580816,0.8540800521724953,0.0863291758376131,0.3416160247097118,0.0674166462867856,0.0,0.0,0.0,7.324284666177549,1.3274508165392116,1.0,0.6619674771484505,0.1411566443274254
bind_043_binder,4.711583924349882,1.239666143267479,0.999918480476074,1.0873074101247249,0.39618850935365,0.9642944485204208,1.413140947256868,0.5078820872038136,0.9990217657128884,0.3771093176815847,0.484662645764365,0.3771093176815847,0.0,0.0,0.0,7.589141599413059,1.352071607851431,1.0,0.616244804713868,0.0947655082940422
bind_069_binder,6.879351104589549,1.0687403279309236,1.0,1.0147550338306024,0.1225823802624834,0.999755441428222,1.0397815276758784,0.1954455364843405,1.0,0.0022825466699274,0.0477214485386503,0.0022825466699274,0.0,0.0,0.0,8.936170212765957,1.090321490144318,1.0,0.7668420123665907,0.0357085828604895
bind_076_binder,4.440205429200294,1.4163703797979852,0.999836960952148,4.085840058694057,1.168546869732162,0.9981250509497024,1.0761392353468655,0.5710957172553357,0.8928833455612619,0.0,0.0,0.0,0.0,0.0,0.0,9.602184723241216,1.5169663946258525,1.0,0.4573018625170741,0.1093261688639152
bind_080_binder,5.118773946360153,1.6423500342399804,0.9991848047607402,0.6161245618325589,0.7032822327407751,0.5059916850085595,1.7537295182196135,0.4964220950288414,0.9936414771337736,0.0415749572022499,0.1996158313758731,0.0415749572022499,0.0,0.0,0.0,7.530202983614576,1.6448203776456611,1.0,0.6675221328131575,0.1178614112230285
bind_083_binder,6.940409228010108,1.520797886719461,1.0,0.3784951495883264,0.5100799404483446,0.3660226624276514,1.718676122931442,0.6228019177580106,0.9977174533300726,0.0011412733349637,0.0337634540611387,0.0011412733349637,0.0,0.0,0.0,9.03872177386484,1.3538591031326317,1.0,0.764597060005473,0.1045357078913822
bind_088_binder,4.671394799054373,1.0642670043466431,1.0,3.2959158718513084,1.3105732084104982,0.999429363332518,0.1547240564115105,0.3620919784734013,0.1545610173636586,0.0,0.0,0.0,0.0,0.0,0.0,8.122034727317192,1.4519929497007809,1.0,0.5823446720304142,0.1229094502208858
bind_099_binder,4.375315888155213,1.1788068231413564,1.0,2.0598353305616697,0.75378887895312,0.9895655009374744,0.6202005380288579,0.8121677130497879,0.4242276025108013,0.0,0.0,0.0,0.0,0.0,0.0,7.055351756745741,1.320413565190576,1.0,0.6177277556098784,0.1058847837002521
bind_100_binder,5.811771419254912,1.4978145054516825,1.0,0.7361213010516019,0.7611471357208339,0.5571044265101491,1.00081519523926,0.8512977758450251,0.6623461318985897,0.0055433276269666,0.0742468797040439,0.0055433276269666,0.0,0.0,0.0,7.5542512431727395,1.76874133080615,1.0,0.7743678334654123,0.1298488391453722
bind_101_binder,4.523518382652646,1.1309458310911866,1.0,1.7949783973261595,0.9558344633990328,0.942528735632184,1.156599005461808,1.0002108406779655,0.6504442814053966,8.151952392598027e-05,0.0090284482882275,8.151952392598027e-05,0.0,0.0,0.0,7.475177304964539,1.2961679978737828,1.0,0.6019869280018461,0.0937509872623896
bind_102_binder,3.3188228580745087,1.1765238407138396,0.9988587266650364,2.602673840384772,0.6556582115643274,0.991603489035624,0.2687698703839569,0.4874612468868084,0.2482269503546099,0.4919703268932909,0.4999355201921537,0.4919703268932909,0.0,0.0,0.0,6.682236895736529,1.5387010213473495,1.0,0.4909703882252182,0.1209770312127193
bind_110_binder,4.913426265590609,1.42923791415174,1.0,2.279611967066112,1.0335108578629224,0.9523110785033015,0.652889867123176,0.7583133480235577,0.512350207874786,0.0,0.0,0.0,0.0,0.0,0.0,7.845928099779897,1.6763670777384485,1.0,0.621161396821705,0.1000539095767098
